Game_id,Oppt_name,Offense_plays,Offense_pass_ppa,Offense_rush_ppa,Offense_success_rate,Offense_explosiveness,Defense_plays,Defense_pass_ppa,Defense_rush_ppa,Defense_success_rate,Defense_explosiveness,Team_id
400547640,Vanderbilt,84,11.1824,-5.2427,0.3452,0.7883,63,-0.6826,-18.7378,0.3452,1.1071,218
400547640,Temple,63,-0.6826,-18.7378,0.3175,1.1071,84,11.1824,-5.2427,0.3175,0.7883,238
400547641,UConn,72,22.381,8.9395,0.5278,1.1506,80,-2.9123,-5.1683,0.5278,0.9706,252
400547641,BYU,80,-2.9123,-5.1683,0.4,0.9706,72,22.381,8.9395,0.4,1.1506,41
400547642,UCF,79,19.7486,-2.0766,0.557,0.8661,51,6.519,-6.83,0.557,1.6822,213
400547642,Penn State,51,6.519,-6.83,0.2745,1.6822,79,19.7486,-2.0766,0.2745,0.8661,2116
400547644,UTSA,73,-13.5102,-1.2939,0.2466,1.293,76,-5.1023,1.8815,0.2466,0.6974,248
400547644,Houston,76,-5.1023,1.8815,0.3947,0.6974,73,-13.5102,-1.2939,0.3947,1.293,2636
400547647,Tulsa,75,10.0983,7.2627,0.4133,1.5437,92,26.5631,1.732,0.4133,1.2325,2655
400547647,Tulane,92,26.5631,1.732,0.4783,1.2325,75,10.0983,7.2627,0.4783,1.5437,202
400547648,SMU,97,15.9756,14.4036,0.433,1.2491,65,-15.2966,-2.5972,0.433,1.1424,239
400547648,Baylor,65,-15.2966,-2.5972,0.1846,1.1424,97,15.9756,14.4036,0.1846,1.2491,2567
400547650,South Carolina,70,14.1886,5.993,0.5571,0.9648,80,11.3142,8.539,0.5571,0.8042,151
400547650,East Carolina,80,11.3142,8.539,0.525,0.8042,70,14.1886,5.993,0.525,0.9648,2579
400547652,UCLA,81,12.3115,2.2956,0.3827,1.358,85,9.9973,7.9594,0.3827,1.3109,235
400547652,Memphis,85,9.9973,7.9594,0.4588,1.3109,81,12.3115,2.2956,0.4588,1.358,26
400547653,SMU,77,3.9754,9.4237,0.3896,1.0645,59,6.551,-13.2409,0.3896,1.3739,249
400547653,North Texas,59,6.551,-13.2409,0.3559,1.3739,77,3.9754,9.4237,0.3559,1.0645,2567
400547654,South Florida,69,4.4675,-20.4681,0.4203,0.8387,76,1.3659,-5.1661,0.4203,1.3911,120
400547654,Maryland,76,1.3659,-5.1661,0.25,1.3911,69,4.4675,-20.4681,0.25,0.8387,58
400547655,Temple,72,-0.2137,29.2634,0.625,0.9243,85,5.4863,5.9647,0.625,0.9561,2426
400547655,Navy,85,5.4863,5.9647,0.4941,0.9561,72,-0.2137,29.2634,0.4941,0.9243,218
400547656,Tulane,66,-6.4337,28.8203,0.6212,0.9655,57,-3.0449,3.808,0.6212,1.6199,59
400547656,Georgia Tech,57,-3.0449,3.808,0.3684,1.6199,66,-6.4337,28.8203,0.3684,0.9655,2655
400547657,Tulsa,70,15.9255,15.6216,0.4857,1.5411,83,-10.7567,2.4284,0.4857,0.8933,201
400547657,Oklahoma,83,-10.7567,2.4284,0.4096,0.8933,70,15.9255,15.6216,0.4096,1.5411,202
400547658,Houston,97,-2.2837,26.0478,0.4948,1.0119,65,17.7093,-5.082,0.4948,1.2436,252
400547658,BYU,65,17.7093,-5.082,0.3692,1.2436,97,-2.2837,26.0478,0.3692,1.0119,248
400547659,Toledo,73,32.4842,5.9115,0.4932,1.583,83,17.2768,11.62,0.4932,1.1589,2132
400547659,Cincinnati,83,17.2768,11.62,0.506,1.1589,73,32.4842,5.9115,0.506,1.583,2649
400547660,UCF,60,8.5245,3.4398,0.4667,1.1531,76,5.7827,-12.0692,0.4667,1.0682,142
400547660,Missouri,76,5.7827,-12.0692,0.4079,1.0682,60,8.5245,3.4398,0.4079,1.1531,2116
400547661,UConn,57,11.8182,-7.5318,0.386,1.1547,76,-4.4103,-1.318,0.386,1.1949,68
400547661,Boise State,76,-4.4103,-1.318,0.3158,1.1949,57,11.8182,-7.5318,0.3158,1.1547,41
400547662,Virginia Tech,72,14.4798,-1.5863,0.375,1.4558,85,5.7461,2.2385,0.375,1.1429,151
400547662,East Carolina,85,5.7461,2.2385,0.4,1.1429,72,14.4798,-1.5863,0.4,1.4558,259
400547663,South Florida,77,4.4928,3.0563,0.4935,0.9252,47,-12.6763,0.1169,0.4935,0.7749,152
400547663,NC State,47,-12.6763,0.1169,0.2553,0.7749,77,4.4928,3.0563,0.2553,0.9252,58
400547665,Tulsa,67,24.0698,-0.5296,0.4478,1.3435,78,-6.171,10.4678,0.4478,1.2612,2226
400547665,Florida Atlantic,78,-6.171,10.4678,0.3974,1.2612,67,24.0698,-0.5296,0.3974,1.3435,202
400547666,UConn,71,-2.5122,-2.557,0.3803,0.8572,35,-1.6416,-0.4804,0.3803,0.7955,58
400547666,South Florida,35,-1.6416,-0.4804,0.3143,0.7955,71,-2.5122,-2.557,0.3143,0.8572,41
400547668,Miami (OH),70,21.4262,-2.4767,0.4571,1.2326,71,3.5402,1.7938,0.4571,1.569,2132
400547668,Cincinnati,71,3.5402,1.7938,0.3944,1.569,70,21.4262,-2.4767,0.3944,1.2326,193
400547669,North Carolina,96,22.4816,30.1551,0.5521,1.6379,84,9.6364,2.3351,0.5521,1.3133,151
400547669,East Carolina,84,9.6364,2.3351,0.4167,1.3133,96,22.4816,30.1551,0.4167,1.6379,153
400547670,Middle Tennessee,88,6.9824,-0.9095,0.4659,0.9722,70,10.5701,-5.7141,0.4659,0.9682,235
400547670,Memphis,70,10.5701,-5.7141,0.4286,0.9682,88,6.9824,-0.9095,0.4286,0.9722,2393
